id,x,y,deg
128_1,s1.48174,s0.553715,s245.456
128_2,s0.218085,s-3.24512,s248.079
128_3,s-3.25355,s0.522004,s248.172
128_4,s1.3948,s-1.06869,s248.349
128_5,s-3.2527,s-1.09647,s248.495
128_6,s2.34538,s-3.27684,s69.4177
128_7,s2.70634,s-2.52926,s196.926
128_8,s2.34603,s-0.634198,s67.5317
128_9,s-2.33788,s0.456826,s68.0981
128_10,s0.226045,s-1.09092,s248.047
128_11,s2.78887,s0.889213,s334.219
128_12,s1.14869,s-3.30932,s68.8385
128_13,s2.40786,s0.445869,s67.1899
128_14,s1.14314,s-2.23331,s68.4335
128_15,s-0.941166,s-3.25074,s248.094
128_16,s-3.25322,s-0.556426,s248.207
128_17,s-3.25376,s-3.7933,s248.336
128_18,s-0.940187,s-2.71231,s248.209
128_19,s-1.17844,s-1.16197,s67.9878
128_20,s-2.09308,s-0.0164088,s248.071
128_21,s-1.18429,s-3.31648,s68.17
128_22,s-2.33966,s-2.77694,s68.3164
128_23,s-0.0193521,s-1.16001,s68.1
128_24,s1.40233,s-0.525621,s247.067
128_25,s-3.25471,s-2.17401,s248.252
128_26,s1.14267,s-1.69585,s68.051
128_27,s-3.24392,s-4.36621,s247.081
128_28,s-0.933396,s-0.0162623,s248.238
128_29,s0.222932,s-2.16736,s247.827
128_30,s1.1451,s0.998806,s68.3759
128_31,s-2.33947,s-1.6991,s68.1638
128_32,s-2.09834,s-3.7909,s248.205
128_33,s-2.08918,s1.06154,s248.035
128_34,s2.33505,s-3.82595,s66.8394
128_35,s-0.933577,s-0.55514,s248.265
128_36,s-2.34425,s-4.39627,s68.0209
128_37,s-3.25478,s1.59784,s249.23
128_38,s2.21992,s-4.40051,s62.874
128_39,s-0.0193249,s-0.0818845,s68.1807
128_40,s-2.10068,s-4.33162,s247.601
128_41,s-2.09184,s0.522081,s248.134
128_42,s2.33239,s-2.73595,s69.5335
128_43,s-1.18582,s-3.85553,s68.1808
128_44,s-0.0171391,s0.995882,s68.1906
128_45,s-2.33833,s-1.15931,s68.3598
128_46,s1.10573,s-4.40672,s64.9645
128_47,s-2.09562,s-2.71256,s248.134
128_48,s-3.25292,s1.06097,s248.078
128_49,s1.39555,s-2.14718,s248.683
128_50,s-1.18327,s-2.778,s68.0919
128_51,s-1.18167,s-2.23982,s67.9689
128_52,s-0.93127,s1.06189,s248.302
128_53,s-1.19104,s-4.3972,s67.744
128_54,s2.36862,s-0.106376,s63.8054
128_55,s2.66961,s-0.730064,s321.07
128_56,s-0.94732,s-4.33328,s247.726
128_57,s-2.08557,s1.60143,s247.774
128_58,s-2.34111,s-3.85574,s68.3036
128_59,s-2.33954,s-0.0818676,s68.2925
128_60,s-0.0255367,s-2.77651,s68.1493
128_61,s2.43636,s0.976341,s62.3568
128_62,s-0.027436,s-3.85406,s68.2757
128_63,s-0.931574,s0.523345,s248.006
128_64,s1.14652,s0.460161,s68.3381
128_65,s-1.17527,s0.456208,s68.0097
128_66,s-0.936175,s-2.17196,s248.09
128_67,s0.219909,s-2.70621,s247.942
128_68,s1.18626,s1.50534,s58.4383
128_69,s0.228825,s1.60059,s248.44
128_70,s-1.17363,s1.53439,s67.9486
128_71,s2.70282,s-1.70782,s215.61
128_72,s-0.930692,s1.60128,s247.989
128_73,s-0.0274344,s-3.31566,s68.1047
128_74,s-2.09353,s-1.09415,s248.268
128_75,s0.223454,s-3.78774,s249.563
128_76,s1.14608,s-0.0797377,s67.9491
128_77,s-1.17707,s-0.0820342,s68.44
128_78,s1.15031,s-3.85065,s67.9138
128_79,s1.39803,s-2.68583,s248.523
128_80,s1.41312,s-3.23277,s251.217
128_81,s1.48707,s1.57905,s260.597
128_82,s1.39416,s-1.60691,s248.064
128_83,s-2.33047,s1.5376,s67.1281
128_84,s-2.09703,s-3.25124,s248.061
128_85,s1.14277,s-0.618685,s67.9049
128_86,s-0.934402,s-1.63263,s248.092
128_87,s-0.934531,s-1.09455,s248.31
128_88,s-0.0217657,s-1.69917,s68.083
128_89,s1.14241,s-1.15586,s68.518
128_90,s-1.17445,s0.995799,s68.3268
128_91,s2.77587,s-0.0314854,s352.072
128_92,s0.230398,s-0.0149503,s248.434
128_93,s0.228701,s0.523855,s248.331
128_94,s2.33948,s-1.71085,s67.9494
128_95,s0.217124,s-4.34331,s245.003
128_96,s-0.023733,s-2.23811,s68.0014
128_97,s2.26441,s-2.14415,s259.44
128_98,s1.14489,s-2.77206,s68.3749
128_99,s-2.33455,s0.9973,s68.2982
128_100,s2.74034,s-3.46685,s205.456
128_101,s-2.33941,s-0.620673,s68.3468
128_102,s1.44207,s0.0258555,s242.242
128_103,s-3.25304,s-3.25277,s248.119
128_104,s1.52127,s1.09764,s243.514
128_105,s2.42691,s1.59816,s292.024
128_106,s-2.34029,s-3.31638,s68.0467
128_107,s-0.0182834,s0.456157,s68.0004
128_108,s-0.0181106,s-0.619608,s68.4733
128_109,s-0.0371964,s-4.39978,s67.5007
128_110,s-0.0154484,s1.53388,s67.7748
128_111,s-3.2539,s-2.71294,s248.293
128_112,s2.84697,s-1.39391,s336.092
128_113,s1.42246,s-3.75929,s247.081
128_114,s-3.25306,s-0.0172318,s248.3
128_115,s-1.17707,s-0.621522,s68.4575
128_116,s0.229099,s1.06329,s248.001
128_117,s2.46642,s-4.35803,s242.889
128_118,s-0.940875,s-3.79079,s248.369
128_119,s-3.252,s-1.63402,s248.101
128_120,s-1.18007,s-1.70016,s68.2419
128_121,s1.35795,s-4.35876,s242.872
128_122,s-2.09364,s-0.555312,s248.212
128_123,s-2.09565,s-2.17397,s248.237
128_124,s-2.09481,s-1.63311,s247.891
128_125,s0.22498,s-1.62967,s248.13
128_126,s-2.33951,s-2.23837,s68.1584
128_127,s0.229233,s-0.551414,s247.693
128_128,s2.34231,s-1.17182,s68.0141
